ID_CONTA,Acumulado,Valor Médio,Atrasou,DS_ROLAGEM
1203549,3,350.4,4,FX1
1203752,4,2304.265,4,FX1
1203785,3,1095.3,4,FX1
1203800,3,640.145,4,FX1
1204098,4,295.38,4,FX1
1205134,3,2597.69,4,FX1
1206302,4,482.865,4,FX1
1206850,4,213.19,4,FX1
1207503,4,1870.5700000000002,4,FX1
1207655,3,1335.135,4,FX1
1207732,3,2296.91,4,FX1
1207769,3,81.095,4,FX1
1207840,3,756.47,4,FX1
1208059,3,1452.685,4,FX1
1208234,3,799.98,4,FX1
1210421,4,954.19,4,FX1
1210666,4,1232.9650000000001,4,FX1
1211555,3,1375.54,4,FX1
1212057,3,1215.315,4,FX1
1212573,4,457.06000000000006,4,FX1
1213135,4,841.875,4,FX1
1213958,3,1025.9299999999998,4,FX1
1213962,4,542.3050000000001,4,FX1
1214173,4,787.685,4,FX1
1215224,4,468.67499999999995,4,FX1
1216536,3,1514.4,4,FX1
1217454,4,1003.4000000000001,4,FX1
1217630,4,604.9300000000001,4,FX1
1218268,4,1123.3600000000001,4,FX1
1218302,3,1044.96,4,FX1
1219174,3,1659.685,4,FX1
1219369,3,482.20500000000004,4,FX1
1219887,4,1199.72,4,FX1
1220089,3,529.915,4,FX1
1220211,4,1403.425,4,FX1
1220417,4,1852.19,4,FX1
1220512,3,1367.7,4,FX1
1220585,4,717.16,4,FX1
1222680,3,301.26,4,FX1
1222813,4,821.245,4,FX1
1222896,3,634.355,4,FX1
1222968,4,1010.6,4,FX1
1223005,4,557.75,4,FX1
1223637,3,2013.35,4,FX1
1223739,3,1677.785,4,FX1
1223985,4,974.2,4,FX1
1225097,3,555.74,4,FX1
1225201,3,688.415,4,FX1
1225541,3,704.36,4,FX1
1226645,3,764.5350000000001,4,FX1
1227202,4,319.625,4,FX1
1227490,3,422.245,4,FX1
1227534,4,795.24,4,FX1
1227881,3,563.6500000000001,4,FX1
1228406,3,207,4,FX1
1228413,4,862.12,4,FX1
1229460,3,621.6800000000001,4,FX1
1230627,4,404.65,4,FX1
1231202,3,647.315,4,FX1
1236518,3,284.795,4,FX1
1237200,3,326.925,4,FX1
1237279,3,1223.095,4,FX1
1238435,3,746.475,4,FX1
1238927,3,635.3,4,FX1
1239129,3,981.22,4,FX1
1239189,3,641.3900000000001,4,FX1
1240825,4,786.89,4,FX1
1241911,3,477.515,4,FX1
1242133,4,125.85,4,FX1
1242565,3,951.735,4,FX1
1242685,4,371.90999999999997,4,FX1
1243240,4,178.43,4,FX1
1243464,4,583.725,4,FX1
1243862,3,229.45,4,FX1
1244011,3,331.235,4,FX1
1244724,3,467.615,4,FX1
1244815,4,338.57,4,FX1
1245044,3,392.52,4,FX1
124562,3,319.66499999999996,4,FX1
1245729,3,748.6,4,FX1
1245960,4,569.5699999999999,4,FX1
1246092,4,850.165,4,FX1
1247988,3,1507.4299999999998,4,FX1
1248035,4,99.56,4,FX1
1248387,3,383.855,4,FX1
1248777,3,479.07,4,FX1
1250603,4,308.35,4,FX1
1250998,4,809.8,4,FX1
1251070,4,612.5999999999999,4,FX1
1251234,4,896.365,4,FX1
1252009,3,827.7850000000001,4,FX1
1252171,4,528.25,4,FX1
1252562,4,1579.915,4,FX1
1252697,3,235.065,4,FX1
1253115,4,530.205,4,FX1
1253297,4,365.04499999999996,4,FX1
1253514,4,1100.385,4,FX1
1253869,4,711.885,4,FX1
1254003,4,1011.17,4,FX1
1254096,3,1616.09,4,FX1
1254109,3,101.34,4,FX1
1254584,4,412.4,4,FX1
1254603,4,108.59,4,FX1
1255000,3,552.94,4,FX1
1255060,3,767.46,4,FX1
1255425,3,658.84,4,FX1
1256547,3,536.96,4,FX1
