Ano,Trimestre,Mês,Dia,DIVIDA_ATUAL,ID_CONTA,NU_DIAS_ATRASO,Questão 2 - Base 2.QTD_PARCELAMENTO_12M,Questão 2 - Base 2.QTD_PARCELAMENTO_3M,Questão 2 - Base 2.QTD_PARCELAMENTO_6M,Questão 2 - Base 3.LIMITE,Questão 2 - Base 5.QTD_ACIONAMENTO_1M,Questão 2 - Base 5.QTD_ACIONAMENTO_10D,Questão 2 - Base 5.QTD_ACIONAMENTO_3M,Questão 2 - Base 5.QTD_ACIONAMENTO_6M,Questão 2 - Base 5.QTD_CP_10D,Questão 2 - Base 5.QTD_CP_1M,Questão 2 - Base 5.QTD_CP_3M,Questão 2 - Base 5.QTD_CP_6M,Questão 2 - Base 5.QTD_CPC_10D,Questão 2 - Base 5.QTD_CPC_1M,Questão 2 - Base 5.QTD_CPC_3M,Questão 2 - Base 5.QTD_CPC_6M,RESPOSTA,RESPOSTA - Copiar,VALOR_CRELIQ
2018,Trim 4,novembro,22,525.56,1323413,196,0,0,0,337,32,1,153,300,0,0,0,0,0,0,0,0,0,0,385.92
2018,Trim 4,novembro,22,1014.19,1323438,252,0,0,0,315,,,,,,,,,,,,,0,0,667.98
2018,Trim 4,novembro,22,7699.44,1323464,1568,8,0,8,2160,24,12,128,324,0,0,0,0,0,0,0,0,0,0,5653.76
2018,Trim 4,novembro,22,1053.48,1323473,257,1,1,1,539,10,8,10,10,0,0,0,0,0,0,0,0,0,0,687.15
2018,Trim 4,novembro,22,11599.52,1323496,2528,8,8,8,2160,148,4,1172,2924,0,0,0,0,0,4,4,8,0,0,6746.8
2018,Trim 4,novembro,22,16650.24,1323520,1808,8,0,8,5032,24,20,120,196,0,0,4,8,0,0,0,0,0,0,11534.4
2018,Trim 4,novembro,22,13500.24,1323577,1976,0,0,0,3232,108,32,380,588,0,0,0,0,0,0,0,4,0,0,8978.4
2018,Trim 4,novembro,22,571.06,1323619,285,0,0,0,270,4,0,87,141,0,0,0,0,0,0,0,0,0,0,352.76
2018,Trim 4,novembro,22,1263.37,1323624,342,1,1,1,421,17,12,17,17,0,0,0,0,0,0,0,0,0,0,698.64
2018,Trim 4,novembro,22,5723.16,1323637,1244,4,4,4,1080,28,8,148,228,4,4,4,4,0,0,0,8,0,0,3361.32
2018,Trim 4,novembro,22,10014.48,1323687,1568,24,8,16,2160,48,28,188,436,0,0,20,44,0,0,0,0,0,0,7353.68
2018,Trim 4,novembro,22,899.4,1323722,226,0,0,0,270,17,11,64,86,0,0,0,0,0,0,0,0,0,0,623.06
2018,Trim 4,novembro,22,901.25,1323817,196,0,0,0,270,6,1,72,320,0,0,2,5,0,0,0,0,0,0,661.8
2018,Trim 4,novembro,22,11491.12,1323824,1728,8,0,8,4312,104,8,660,1616,0,4,36,48,0,0,4,4,0,0,8116.56
2018,Trim 4,novembro,22,1637.89,1323847,201,0,0,0,674,19,10,236,279,0,0,0,0,0,0,0,0,0,0,1191.09
2018,Trim 4,novembro,22,624.9,1323866,196,0,0,0,270,66,32,74,150,0,0,0,4,0,0,0,0,0,0,458.87
2018,Trim 4,novembro,22,554.4,1323895,247,0,0,0,270,1,0,189,340,0,0,0,2,0,0,0,0,0,0,368.71
2018,Trim 4,novembro,22,878.35,1323901,321,0,0,0,270,1,0,1,1,0,0,0,0,0,0,0,0,0,0,505.94
2018,Trim 4,novembro,22,22529.52,1323918,2528,0,0,0,7192,72,8,108,212,0,0,0,0,0,0,4,4,0,0,13104.08
2018,Trim 4,novembro,22,1138.49,1323982,301,0,0,0,270,27,1,384,463,0,0,0,0,0,0,0,0,0,0,681.78
2018,Trim 4,novembro,22,1358.65,1324003,337,0,0,0,270,11,9,11,11,1,1,1,1,0,0,0,0,0,0,758.66
2018,Trim 4,novembro,22,726.12,1324005,196,0,0,0,270,0,0,2,3,0,0,0,0,0,0,0,0,0,0,533.2
2018,Trim 4,novembro,22,1122.91,1324010,252,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,739.58
2018,Trim 4,novembro,22,606.62,1324027,321,2,2,2,317,,,,,,,,,,,,,0,0,349.43
2018,Trim 4,novembro,22,8267.92,1324029,2096,0,0,0,2160,68,48,144,256,0,0,0,0,0,0,0,0,0,0,5340.8
2018,Trim 4,novembro,22,30121.2,1324086,8532,27,27,27,4563,135,54,936,3429,0,0,27,45,0,9,9,9,0,0,17519.76
2018,Trim 4,novembro,22,2452.06,1324092,301,0,0,0,843,41,9,190,317,0,0,0,0,0,0,0,0,0,0,1468.38
2018,Trim 4,novembro,22,1598.76,1324098,257,0,0,0,526,12,9,55,74,2,2,4,8,0,0,1,1,0,0,1042.82
2018,Trim 4,novembro,22,1835.09,1324113,216,0,0,0,584,14,8,14,14,0,0,0,0,0,0,0,0,0,0,1296.18
2018,Trim 4,novembro,22,8948.56,1324114,2408,8,0,8,2160,68,44,132,276,0,0,0,0,0,0,0,0,0,0,5358.72
2018,Trim 4,novembro,22,1918.63,1324160,216,0,0,0,730,38,7,426,845,0,0,0,0,0,0,0,0,0,0,1355.19
2018,Trim 4,novembro,22,1037.76,1324168,347,0,0,0,270,14,11,189,360,0,0,0,0,0,0,0,0,0,0,568.34
2018,Trim 4,novembro,22,1301.24,1324227,242,1,1,1,1105,41,1,274,442,0,0,0,0,0,0,0,0,0,0,873.84
2018,Trim 4,novembro,22,12430.64,1324314,2408,0,0,0,13480,60,24,844,1520,0,4,64,104,0,0,16,28,0,0,7443.92
2018,Trim 4,novembro,22,1143.02,1324342,301,0,0,0,270,14,11,14,15,0,0,0,0,0,0,0,0,0,0,684.48
2018,Trim 4,novembro,22,1988.87,1324374,211,0,0,0,601,14,6,14,14,0,0,0,0,0,0,0,0,0,0,1418.51
2018,Trim 4,novembro,22,952.73,1324385,196,2,1,2,315,2,1,2,2,0,0,0,0,0,0,0,0,0,0,699.6
